w2,l,z1,L,ngdl,nel,eta,R,file
370123.8402,1.5,0.7,25.884,14739,4096,1.67097666,16.05715663,SiCube_l1_500_0_700_L_25_884_nx_16.json
611257.5209,1.5,0.8,20.436,10125,2744,1.69540502,12.6774862,SiCube_l1_500_0_800_L_20_436_nx_14.json
609842.6311,1.5,0.8,20.436,14739,4096,1.69344169,12.6774862,SiCube_l1_500_0_800_L_20_436_nx_16.json
387230.2567,1.5,0.8,25.884,10125,2744,1.709155182,16.05715663,SiCube_l1_500_0_800_L_25_884_nx_14.json
386619.5529,1.5,0.8,25.884,14739,4096,1.70780689,16.05715663,SiCube_l1_500_0_800_L_25_884_nx_16.json
642851.9298,1.5,0.9,20.436,10125,2744,1.738668688,12.6774862,SiCube_l1_500_0_900_L_20_436_nx_14.json
641345.518,1.5,0.9,20.436,14739,4096,1.736630359,12.6774862,SiCube_l1_500_0_900_L_20_436_nx_16.json
403808.0127,1.5,0.9,25.884,10125,2744,1.745357193,16.05715663,SiCube_l1_500_0_900_L_25_884_nx_14.json
403005.9102,1.5,0.9,25.884,14739,4096,1.74362289,16.05715663,SiCube_l1_500_0_900_L_25_884_nx_16.json
674277.8357,1.5,1,20.436,10125,2744,1.780659164,12.6774862,SiCube_l1_500_1_000_L_20_436_nx_14.json
672680.2032,1.5,1,20.436,14739,4096,1.778548368,12.6774862,SiCube_l1_500_1_000_L_20_436_nx_16.json
420298.2676,1.5,1,25.884,10125,2744,1.780638069,16.05715663,SiCube_l1_500_1_000_L_25_884_nx_14.json
419302.4138,1.5,1,25.884,14739,4096,1.778527298,16.05715663,SiCube_l1_500_1_000_L_25_884_nx_16.json
